Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,,,Point Format,Y
Horizontal Units,S,,,,,Horizontal Units,Hz
Horizontal Scale,781250,,,,,Horizontal Scale,781250
Sample Interval,78.125,,,,,Sample Interval,1562.5
Filter Frequency,7e+07,,,,,Filter Frequency,7e+07
Record Length,100000,,,,,Record Length,5000
Gating,0.0% to 100.0%,,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,10,,10,,,Probe Attenuation,1
Vertical Units,V,,V,,,Vertical Units,NONE
Vertical Offset,0,,0,,,Vertical Offset,0
Vertical Scale,2,,2,,,Vertical Scale,20
Label,,,,,,Label,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,,TIME,MATH
1.94531e+04,1.48,1.48,-2.08,-2.08,,3.891e+05,-51.0719
1.95312e+04,1.48,1.4,-2.08,-2.08,,3.906e+05,-51.0719
1.96094e+04,1.48,1.48,-2.08,-2.08,,3.922e+05,-53.0625
1.96875e+04,1.48,1.4,-2.08,-2.08,,3.937e+05,-55.05
1.97656e+04,1.48,1.48,-2.08,-2,,3.953e+05,-51.5562
1.98437e+04,1.48,1.48,-2.08,-2.08,,3.969e+05,-48.0594
1.99219e+04,1.48,1.48,-2,-2,,3.984e+05,-53.0594
2.00000e+04,1.48,1.4,-2.08,-2.08,,4.000e+05,-58.0594
2.00781e+04,1.48,1.48,-2,-2,,4.016e+05,-54.5656
2.01562e+04,1.48,1.4,-2,-2.08,,4.031e+05,-51.0719
2.02344e+04,1.48,1.48,-2,-2,,4.047e+05,-53.0625
2.03125e+04,1.48,1.48,-2.08,-2.08,,4.062e+05,-55.05
2.03906e+04,1.48,1.48,-2,-2,,4.078e+05,-51.5562
2.04687e+04,1.48,1.4,-2.08,-2.08,,4.094e+05,-48.0594
2.05469e+04,1.48,1.48,-2.08,-2,,4.109e+05,-51.5562
2.06250e+04,1.48,1.4,-2,-2.08,,4.125e+05,-55.05
2.07031e+04,1.48,1.48,-2,-2,,4.141e+05,-53.5469
2.07812e+04,1.48,1.4,-2,-2.08,,4.156e+05,-52.0406
2.08594e+04,1.48,1.48,-2,-2,,4.172e+05,-50.5375
2.09375e+04,1.4,1.4,-2.08,-2.08,,4.187e+05,-49.0312
2.10156e+04,1.48,1.48,-2,-2,,4.203e+05,-52.0406
2.10937e+04,1.4,1.4,-2,-2.08,,4.219e+05,-55.05
2.11719e+04,1.48,1.48,-2.08,-2,,4.234e+05,-53.0625
2.12500e+04,1.48,1.4,-2,-2.08,,4.250e+05,-51.0719
2.13281e+04,1.4,1.48,-2.08,-2,,4.266e+05,-51.0719
2.14062e+04,1.48,1.4,-2.08,-2.08,,4.281e+05,-51.0719
2.14844e+04,1.4,1.48,-2,-2,,4.297e+05,-53.0625
2.15625e+04,1.4,1.4,-2,-2.08,,4.312e+05,-55.05
2.16406e+04,1.4,1.4,-2,-2,,4.328e+05,-53.0625
2.17187e+04,1.4,1.4,-2.08,-2.08,,4.344e+05,-51.0719
2.17969e+04,1.48,1.48,-2,-2,,4.359e+05,-51.0719
2.18750e+04,1.48,1.4,-2.08,-2.08,,4.375e+05,-51.0719
2.19531e+04,1.48,1.48,-2.08,-2,,4.391e+05,-53.0625
2.20312e+04,1.4,1.4,-2,-2.08,,4.406e+05,-55.05
2.21094e+04,1.4,1.48,-2.08,-2,,4.422e+05,-52.0406
2.21875e+04,1.4,1.4,-2.08,-2.08,,4.437e+05,-49.0312
2.22656e+04,1.48,1.48,-2.08,-2.08,,4.453e+05,-49.0312
2.23437e+04,1.4,1.4,-2.08,-2.08,,4.469e+05,-49.0312
2.24219e+04,1.48,1.48,-2.08,-2,,4.484e+05,-50.0531
2.25000e+04,1.48,1.4,-2,-2.08,,4.500e+05,-51.0719
2.25781e+04,1.4,1.48,-2,-2,,4.516e+05,-51.5562
2.26562e+04,1.48,1.4,-2,-2.08,,4.531e+05,-52.0406
2.27344e+04,1.4,1.48,-2.08,-2,,4.547e+05,-51.5562
2.28125e+04,1.4,1.4,-2.08,-2.08,,4.562e+05,-51.0719
2.28906e+04,1.48,1.48,-2.08,-2.08,,4.578e+05,-49.5656
2.29687e+04,1.48,1.4,-2.08,-2.08,,4.594e+05,-48.0594
2.30469e+04,1.48,1.48,-2.08,-2.08,,4.609e+05,-47.4906
2.31250e+04,1.4,1.32,-2.08,-2.08,,4.625e+05,-46.9219
2.32031e+04,1.48,1.48,-2.08,-2.08,,4.641e+05,-48.9969
2.32812e+04,1.4,1.4,-2.08,-2.08,,4.656e+05,-51.0719
2.33594e+04,1.4,1.4,-2.08,-2.08,,4.672e+05,-51.0719
2.34375e+04,1.4,1.4,-2.08,-2.08,,4.687e+05,-51.0719
2.35156e+04,1.4,1.4,-2,-2,,4.703e+05,-53.0625
2.35937e+04,1.4,1.4,-2.08,-2.08,,4.719e+05,-55.05
2.36719e+04,1.4,1.4,-2,-2,,4.734e+05,-53.0625
2.37500e+04,1.4,1.4,-2.08,-2.08,,4.750e+05,-51.0719
2.38281e+04,1.4,1.4,-2.08,-2,,4.766e+05,-51.0719
2.39062e+04,1.4,1.32,-2.08,-2.08,,4.781e+05,-51.0719
2.39844e+04,1.4,1.4,-2.08,-2.08,,4.797e+05,-51.0719
2.40625e+04,1.4,1.4,-2.08,-2.08,,4.812e+05,-51.0719
2.41406e+04,1.48,1.48,-2,-2,,4.828e+05,-53.0625
2.42187e+04,1.4,1.4,-2,-2.08,,4.844e+05,-55.05
2.42969e+04,1.4,1.4,-2,-2,,4.859e+05,-51.5562
2.43750e+04,1.4,1.4,-2,-2.08,,4.875e+05,-48.0594
2.44531e+04,1.4,1.4,-2.08,-2,,4.891e+05,-51.5562
2.45312e+04,1.4,1.4,-2.08,-2.08,,4.906e+05,-55.05
2.46094e+04,1.4,1.4,-2.08,-2.08,,4.922e+05,-55.05
2.46875e+04,1.4,1.4,-2.08,-2.08,,4.937e+05,-55.05
2.47656e+04,1.4,1.4,-2.08,-2.08,,4.953e+05,-52.0406
2.48437e+04,1.4,1.32,-2,-2.08,,4.969e+05,-49.0312
2.49219e+04,1.4,1.4,-2.08,-2,,4.984e+05,-50.0531
2.50000e+04,1.4,1.4,-2.08,-2.08,,5.000e+05,-51.0719
