Time (s),Bx (µT),By (µT),Bz (µT)
48.88999938964844,-18.304079055786133,-41.545265197753906,-47.51087951660156
48.900001525878906,-18.304079055786133,-41.93910598754883,-47.084712982177734
48.90999984741211,-18.091604232788086,-41.811702728271484,-46.884159088134766
48.91999816894531,-18.18040657043457,-41.54914093017578,-46.96914291381836
48.93000030517578,-18.509138107299805,-41.46473693847656,-47.021915435791016
48.939998626708984,-18.630788803100586,-41.85329055786133,-46.45512771606445
48.95000076293945,-17.560508728027344,-41.722007751464844,-46.02896499633789
48.959999084472656,-18.092952728271484,-42.2787971496582,-46.77278518676758
48.970001220703125,-18.57636833190918,-42.81053924560547,-47.63227081298828
48.97999954223633,-18.412338256835938,-42.92470932006836,-47.911468505859375
48.9900016784668,-18.14476776123047,-42.53086853027344,-47.201194763183594
49,-18.52252960205078,-42.77027893066406,-47.17613983154297
49.0099983215332,-18.26516342163086,-42.47878646850586,-47.375980377197266
49.02000045776367,-18.02572250366211,-42.998260498046875,-51.11385726928711
49.029998779296875,-18.135330200195312,-44.741302490234375,-57.87607955932617
49.040000915527344,-18.135330200195312,-46.05411911010742,-58.58635330200195
49.04999923706055,-18.750324249267578,-46.28065872192383,-58.51301956176758
49.060001373291016,-19.155141830444336,-45.807220458984375,-58.744876861572266
49.06999969482422,-18.891984939575195,-45.279930114746094,-58.720211029052734
49.08000183105469,-18.020912170410156,-45.23750305175781,-58.1445426940918
49.09000015258789,-18.422266006469727,-45.762630462646484,-58.428653717041016
49.099998474121094,-18.35589599609375,-45.71403503417969,-58.588600158691406
49.11000061035156,-18.38604736328125,-45.58275604248047,-57.94733428955078
49.119998931884766,-18.331809997558594,-45.40534973144531,-57.70929718017578
49.130001068115234,-18.002710342407227,-45.28459167480469,-58.912471771240234
49.13999938964844,-18.404064178466797,-46.59740447998047,-57.91808319091797
49.150001525878906,-18.47282600402832,-46.822322845458984,-57.74772262573242
49.15999984741211,-18.39692497253418,-46.22647476196289,-57.82831573486328
49.16999816894531,-18.385955810546875,-45.61811828613281,-58.10077667236328
49.18000030517578,-18.63559913635254,-45.96505355834961,-58.64996337890625
49.189998626708984,-18.501813888549805,-45.30864715576172,-58.79201889038086
49.20000076293945,-18.47282600402832,-45.47492599487305,-59.045352935791016
49.209999084472656,-18.263324737548828,-45.66318893432617,-58.81040573120117
49.220001220703125,-17.896841049194336,-45.5605354309082,-58.322288513183594
49.22999954223633,-17.629270553588867,-45.166690826416016,-58.4643440246582
49.2400016784668,-18.29755210876465,-45.95356750488281,-58.46444320678711
49.25,-18.275365829467773,-45.57866668701172,-57.52094268798828
49.2599983215332,-18.135330200195312,-45.2289924621582,-57.596622467041016
49.27000045776367,-18.077722549438477,-45.445068359375,-58.94513702392578
49.279998779296875,-17.810152053833008,-45.97019577026367,-59.51335525512695
49.290000915527344,-18.435964584350586,-45.61865997314453,-57.23575973510742
49.29999923706055,-18.64157485961914,-45.22481155395508,-57.96933364868164
49.310001373291016,-18.69927406311035,-44.83096694946289,-59.05862808227539
49.31999969482422,-18.810321807861328,-44.59330368041992,-58.919368743896484
49.33000183105469,-18.810321807861328,-45.118431091308594,-59.487586975097656
49.34000015258789,-19.418115615844727,-45.285701751708984,-57.73249435424805
49.349998474121094,-19.307680130004883,-45.16205978393555,-56.939056396484375
49.36000061035156,-19.030702590942383,-44.798160552978516,-57.29042053222656
49.369998931884766,-19.147817611694336,-44.35482406616211,-58.35606384277344
49.380001068115234,-19.147817611694336,-44.486106872558594,-58.92428207397461
49.38999938964844,-18.91683578491211,-45.18404006958008,-58.87934875488281
49.400001525878906,-18.810321807861328,-45.260536193847656,-58.566280364990234
49.40999984741211,-18.71919059753418,-45.00082778930664,-58.57555389404297
